model_filename,performance_metric,metric_value,dataset,source
NeuralNetFastAI_BAG_L1,accuracy,0.9860885853301964,mitbih,automl-baseline
LightGBMXT_BAG_L1,accuracy,0.9854718231034562,mitbih,automl-baseline
NeuralNetTorch_BAG_L2,accuracy,0.9836101149005184,mitbih,automl-baseline
LightGBM_BAG_L1,accuracy,0.9832674692189964,mitbih,automl-baseline
RandomForestEntr_BAG_L1,accuracy,0.976494506247573,mitbih,automl-baseline
RandomForestGini_BAG_L1,accuracy,0.9760604883843114,mitbih,automl-baseline
KNeighborsDist_BAG_L1,accuracy,0.9757064211800718,mitbih,automl-baseline
KNeighborsUnif_BAG_L1,accuracy,0.9749183361125704,mitbih,automl-baseline
WeightedEnsemble_L3,roc_auc_score,0.9911527228998454,ptbdb,automl-baseline
LightGBM_BAG_L2,roc_auc_score,0.9909809311114928,ptbdb,automl-baseline
NeuralNetFastAI_BAG_L2,roc_auc_score,0.9909809311114928,ptbdb,automl-baseline
LightGBMLarge_BAG_L2,roc_auc_score,0.9906373475347878,ptbdb,automl-baseline
WeightedEnsemble_L2,roc_auc_score,0.9899501803813776,ptbdb,automl-baseline
CatBoost_BAG_L2,roc_auc_score,0.9898642844872017,ptbdb,automl-baseline
XGBoost_BAG_L2,roc_auc_score,0.9896065968046728,ptbdb,automl-baseline
LightGBMXT_BAG_L2,roc_auc_score,0.9892630132279676,ptbdb,automl-baseline
ExtraTreesEntr_BAG_L2,roc_auc_score,0.989005325545439,ptbdb,automl-baseline
RandomForestEntr_BAG_L2,roc_auc_score,0.989005325545439,ptbdb,automl-baseline
RandomForestGini_BAG_L2,roc_auc_score,0.9887476378629102,ptbdb,automl-baseline
ExtraTreesGini_BAG_L2,roc_auc_score,0.9884040542862051,ptbdb,automl-baseline
NeuralNetFastAI_BAG_L1,roc_auc_score,0.98737330355609,ptbdb,automl-baseline
NeuralNetTorch_BAG_L2,roc_auc_score,0.9869438240852088,ptbdb,automl-baseline
LightGBM_BAG_L1,roc_auc_score,0.98599896924927,ptbdb,automl-baseline
LightGBMXT_BAG_L1,roc_auc_score,0.9854835938842124,ptbdb,automl-baseline
LightGBMLarge_BAG_L1,roc_auc_score,0.9839374677890396,ptbdb,automl-baseline
XGBoost_BAG_L1,roc_auc_score,0.9818759663288096,ptbdb,automl-baseline
RandomForestEntr_BAG_L1,roc_auc_score,0.9766363167840576,ptbdb,automl-baseline
ExtraTreesEntr_BAG_L1,roc_auc_score,0.9765504208898814,ptbdb,automl-baseline
NeuralNetTorch_BAG_L1,roc_auc_score,0.9762927332073528,ptbdb,automl-baseline
CatBoost_BAG_L1,roc_auc_score,0.975347878371414,ptbdb,automl-baseline
ExtraTreesGini_BAG_L1,roc_auc_score,0.9748325030063564,ptbdb,automl-baseline
RandomForestGini_BAG_L1,roc_auc_score,0.9725133138635972,ptbdb,automl-baseline
KNeighborsDist_BAG_L1,roc_auc_score,0.9359216629445112,ptbdb,automl-baseline
KNeighborsUnif_BAG_L1,roc_auc_score,0.9320563477065796,ptbdb,automl-baseline
