model_filename,performance_metric,metric_value,dataset,source
BILSTM10_mitbih_MITBIH_biGRU,matthews_corrcoef,0.0,mitbih,initial-training
BILSTM187_ptb_MITBIH,matthews_corrcoef,0.0,mitbih,initial-training
GRU_ptb_preds,balanced_accuracy_score,0.9839287205427992,ptbdb,initial-training
BidirGRU_ptb_preds,balanced_accuracy_score,0.983119555335492,ptbdb,initial-training
BILSTM187_ptb-2_preds,balanced_accuracy_score,0.9808364274885653,ptbdb,initial-training
CNN_PTB_preds,balanced_accuracy_score,0.898383904198603,ptbdb,initial-training
RNN_PTB_preds,balanced_accuracy_score,0.595475613901176,ptbdb,initial-training
GRU_ptb_preds,accuracy,0.9883201648917898,ptbdb,initial-training
BidirGRU_ptb_preds,accuracy,0.9866025420817588,ptbdb,initial-training
BILSTM187_ptb-2_preds,accuracy,0.9838543455857094,ptbdb,initial-training
CNN_PTB_preds,accuracy,0.9185846788045344,ptbdb,initial-training
RNN_PTB_preds,accuracy,0.7265544486430779,ptbdb,initial-training
GRU_ptb_preds,roc_auc_score,0.9839287205427992,ptbdb,initial-training
BidirGRU_ptb_preds,roc_auc_score,0.983119555335492,ptbdb,initial-training
BILSTM187_ptb-2_preds,roc_auc_score,0.9808364274885653,ptbdb,initial-training
CNN_PTB_preds,roc_auc_score,0.898383904198603,ptbdb,initial-training
RNN_PTB_preds,roc_auc_score,0.5954756139011759,ptbdb,initial-training
GRU_ptb_preds,f1_score,0.9919278252611586,ptbdb,initial-training
BidirGRU_ptb_preds,f1_score,0.9907253269916766,ptbdb,initial-training
BILSTM187_ptb-2_preds,f1_score,0.988806858775899,ptbdb,initial-training
CNN_PTB_preds,f1_score,0.9436385255648038,ptbdb,initial-training
RNN_PTB_preds,f1_score,0.824669603524229,ptbdb,initial-training
GRU_ptb_preds,matthews_corrcoef,0.9708329868409152,ptbdb,initial-training
BidirGRU_ptb_preds,matthews_corrcoef,0.9666069478319044,ptbdb,initial-training
BILSTM187_ptb-2_preds,matthews_corrcoef,0.9598570441539797,ptbdb,initial-training
CNN_PTB_preds,matthews_corrcoef,0.7970711295992947,ptbdb,initial-training
RNN_PTB_preds,matthews_corrcoef,0.2318812596053182,ptbdb,initial-training
Logistic Regression,accuracy,0.9888,mitbih,ensembling-models
Ridge Classifier,accuracy,0.9888,mitbih,ensembling-models
SVM - Linear Kernel,accuracy,0.9887,mitbih,ensembling-models
Linear Discriminant Analysis,accuracy,0.9884,mitbih,ensembling-models
K Neighbors Classifier,accuracy,0.988,mitbih,ensembling-models
CatBoost Classifier,accuracy,0.9875,mitbih,ensembling-models
Random Forest Classifier,accuracy,0.9873,mitbih,ensembling-models
Gradient Boosting Classifier,accuracy,0.9873,mitbih,ensembling-models
Light Gradient Boosting Machine,accuracy,0.9872,mitbih,ensembling-models
Extra Trees Classifier,accuracy,0.9871,mitbih,ensembling-models
Extreme Gradient Boosting,accuracy,0.9869,mitbih,ensembling-models
Decision Tree Classifier,accuracy,0.9855,mitbih,ensembling-models
Quadratic Discriminant Analysis,accuracy,0.9767,mitbih,ensembling-models
Ada Boost Classifier,accuracy,0.8748,mitbih,ensembling-models
Dummy Classifier,accuracy,0.8292,mitbih,ensembling-models
Naive Bayes,accuracy,0.1119,mitbih,ensembling-models
Logistic Regression,roc_auc_score,0.9897,mitbih,ensembling-models
Ridge Classifier,roc_auc_score,0.0,mitbih,ensembling-models
SVM - Linear Kernel,roc_auc_score,0.0,mitbih,ensembling-models
Linear Discriminant Analysis,roc_auc_score,0.9828,mitbih,ensembling-models
K Neighbors Classifier,roc_auc_score,0.9843,mitbih,ensembling-models
CatBoost Classifier,roc_auc_score,0.9893,mitbih,ensembling-models
Random Forest Classifier,roc_auc_score,0.9858,mitbih,ensembling-models
Gradient Boosting Classifier,roc_auc_score,0.9885,mitbih,ensembling-models
Light Gradient Boosting Machine,roc_auc_score,0.9836,mitbih,ensembling-models
Extra Trees Classifier,roc_auc_score,0.9815,mitbih,ensembling-models
Extreme Gradient Boosting,roc_auc_score,0.9888,mitbih,ensembling-models
Decision Tree Classifier,roc_auc_score,0.9699,mitbih,ensembling-models
Quadratic Discriminant Analysis,roc_auc_score,0.9407,mitbih,ensembling-models
Ada Boost Classifier,roc_auc_score,0.204,mitbih,ensembling-models
Dummy Classifier,roc_auc_score,0.5,mitbih,ensembling-models
Naive Bayes,roc_auc_score,0.9794,mitbih,ensembling-models
Logistic Regression,recall_score,0.8994,mitbih,ensembling-models
Ridge Classifier,recall_score,0.9018,mitbih,ensembling-models
SVM - Linear Kernel,recall_score,0.9021,mitbih,ensembling-models
Linear Discriminant Analysis,recall_score,0.9079,mitbih,ensembling-models
K Neighbors Classifier,recall_score,0.8911,mitbih,ensembling-models
CatBoost Classifier,recall_score,0.9007,mitbih,ensembling-models
Random Forest Classifier,recall_score,0.8937,mitbih,ensembling-models
Gradient Boosting Classifier,recall_score,0.8971,mitbih,ensembling-models
Light Gradient Boosting Machine,recall_score,0.8958,mitbih,ensembling-models
Extra Trees Classifier,recall_score,0.8914,mitbih,ensembling-models
Extreme Gradient Boosting,recall_score,0.8976,mitbih,ensembling-models
Decision Tree Classifier,recall_score,0.8831,mitbih,ensembling-models
Quadratic Discriminant Analysis,recall_score,0.7788,mitbih,ensembling-models
Ada Boost Classifier,recall_score,0.44,mitbih,ensembling-models
Dummy Classifier,recall_score,0.2,mitbih,ensembling-models
Naive Bayes,recall_score,0.6004,mitbih,ensembling-models
Logistic Regression,precision_score,0.9887,mitbih,ensembling-models
Ridge Classifier,precision_score,0.9886,mitbih,ensembling-models
SVM - Linear Kernel,precision_score,0.9885,mitbih,ensembling-models
Linear Discriminant Analysis,precision_score,0.9883,mitbih,ensembling-models
K Neighbors Classifier,precision_score,0.9878,mitbih,ensembling-models
CatBoost Classifier,precision_score,0.9874,mitbih,ensembling-models
Random Forest Classifier,precision_score,0.9871,mitbih,ensembling-models
Gradient Boosting Classifier,precision_score,0.9871,mitbih,ensembling-models
Light Gradient Boosting Machine,precision_score,0.987,mitbih,ensembling-models
Extra Trees Classifier,precision_score,0.9869,mitbih,ensembling-models
Extreme Gradient Boosting,precision_score,0.9867,mitbih,ensembling-models
